Condition,times_per_show
Somebody cries,1
Chad eats a cold cut,1
Evan mentions getting over JoJo,1
Someone confuses the twins,2
Someone calls Lace crazy,1
Amanda talks about her kids,1
The twins finish each other's sentences,1
Someone says they are scared of Chad,1
Daniel mentions Canada,1
Vinny mentions New Jersey,1
Someone goes skinny-dipping,1
Someone hooks up with 2 people in 1 night,2
Evan talks sh*t about Chad,1
"Someone mentions their ""journey""",1
"Someone insists they are there for the ""right reasons""",1
"Someone says ""I'm falling for you""",1
Someone says something mean about Amanda having kids,1
"Chris Harrison uses the word ""shocking""",1
A body part is blurred / black-boxed,2
Nick talks about being runner-up in a past season,1
"2 people are accused of ""talking"" before the show",2
A crab is shown,1
Lace mumbles incoherently,1
"Someone says ""I'm not ready to leave paradise""",2
A crew member comes into frame,2
Someone asks the bartender for advice,2
An ambulance is called,2
"Chris Harrison uses the word ""dramatic""",1
A couple makes out in the hottub,2
"Someone uses the word ""connection""",3
An iguana is shown,1
A parrot is shown,1
"Someone talks about getting ""clarity""",2
Daniel says he's an eagle,1
