Condition,chance_of_condition,sport
Someone mentions the Zika virus,high,general
The US wins gold,high,general
The US wins bronze or silver,high,general
People talk about cupping therapy,normal,swimming
An athlete cries after medalling,normal,general
Commentators discuss the Russian doping scandal,normal,general
Someone talks about Michael Phelps' marijuana scandal,high,swimming
A US athlete sets a world record,low,"swimming, track"
An athlete from another country sets a world record,high,"swimming, track"
There's talk about the environment or the rainforest,high,general
There's a celebrity in the audience,low,general
A comparison of the Olympics in ancient Greece is made,low,general
Someone mentions the subpar living conditions in the Olympic village,normal,general
A commentator has trouble pronouncing an athlete's name,normal,general
Footage from a previous Olympics is shown,low,general
The Christ the Redeemer statue is shown,normal,general
A gymnast sticks a landing,normal,gymnastics
A diver belly flops,low,diving
An athlete is 16 or younger,high,"swimming, gymnastics_women, gymnastics_men, track, table_tennis"
An athlete is younger than you,high,general
People shout USA,high,general
Family members of the athlete are shown,normal,general
An athlete's child is shown,low,general
There's a flashback to a previous Olympic games,normal,general
A runner is wearing a gold chain,normal,track
There's a false start,normal,"swimming, track"
"Someone mentions the original ""Dream Team""",normal,basketball
Someone talks about the US team's yacht,normal,basketball
LeBron James looks at the referee in contempt,normal,basketball
A commentator mentions Kobe Bryant in the same sentence as Phil Jackson or Mike Brown,high,basketball
Andy Murray is mentioned,high,tennis
Commentators discuss Katie Ledecky,high,swimming
The winter Olympics are mentioned,high,general
Commentators discuss Serena Williams,high,tennis
"""Rise"" by Katy Perry plays",normal,general
Commentators mention Donald Trump and Russia in the same sentence,normal,general
Gisele Bundchen makes an appearance,normal,general
Samba music plays,high,general
Dad's the coach,high,"gymnastics_women, gymnastics_men, fencing"
Hole-in-one,low,golf
Olympic flame is shown,high,general
CITI ad,high,general
Announcer jinxes performance,high,gymnastics
Spike,high,beach_volleyball
Simone Biles' family is dicussed,high,gymnastics_women
Player grunts,high,"tennis, table_tennis"
Runner trips on hurdle,normal,track
Swimmer too breathless for post-race interview,normal,swimming
A diver does a back flop,normal,diving
Ace,normal,tennis
3-pointer,normal,basketball
Game goes into overtime,high,"basketball, field_hockey"
A rider falls off his/her horse,normal,equestrian
Russia gets booed,high,"track, swimming"
Bloody nose,high,wrestling
6-pack abs,high,"swimming, beach_volleyball"
Someone in the crowd is facepainted or wearing a wig,high,general
Someone falls off the beam,high,
